"","factor","average","error","metric"
"1","Microsite",0.0861114592956945,0.0384507066216671,"richness"
"2","Microsite",0.0908781950780542,0.0634753524122794,"abun"
"3","Microsite",0.295117725393536,0.0362823431253386,"rdm"
"4","Microsite",0.403873177565083,0.0314179278419863,"cov"
