site,label
C1,Semi-arid 1
C2,Semi-arid 2
C3,Semi-arid 3
PAN1,Semi-arid 4
PAN2,Semi-arid 5
PAN3,Semi-arid 6
M2,Arid 7
M1,Arid 8
M3,Arid 9
